start,end,intervals,duration_hours,mean_load_mw,max_load_mw,mean_renewable_coverage_pct,mean_renewable_gap_mw
2023-11-16 12:30:00+00:00,2023-11-16 18:15:00+00:00,24,6.0,66655.46666666666,67961.3,19.340672262010173,53764.87916666667
2023-11-17 06:45:00+00:00,2023-11-17 08:00:00+00:00,6,1.5,66984.40000000001,67686.9,24.7588573618976,50396.48333333334
2023-11-17 15:45:00+00:00,2023-11-17 17:45:00+00:00,9,2.25,66425.37777777779,66905.0,17.02900559781216,55113.68888888889
2023-11-20 15:45:00+00:00,2023-11-20 18:00:00+00:00,10,2.5,66254.54000000001,66697.4,23.811727682961475,50478.74
2023-11-21 06:30:00+00:00,2023-11-21 18:30:00+00:00,49,12.25,67466.57142857143,68950.8,22.306211895137135,52411.577551020404
2023-11-22 07:15:00+00:00,2023-11-22 08:30:00+00:00,6,1.5,66570.56666666667,67256.3,22.33370309082596,51693.35
2023-11-27 06:45:00+00:00,2023-11-27 08:00:00+00:00,6,1.5,66848.50000000001,67582.0,23.57952801453159,51076.55000000001
2023-11-28 08:45:00+00:00,2023-11-28 19:15:00+00:00,43,10.75,70807.93255813952,72234.9,19.092781878007084,57284.967441860455
2023-11-29 15:00:00+00:00,2023-11-29 19:15:00+00:00,18,4.5,70352.48333333334,72242.4,22.89004438698662,54228.416666666664
2023-11-30 06:00:00+00:00,2023-11-30 19:15:00+00:00,54,13.5,69885.93148148149,71342.7,8.35318184482527,64040.73703703704
2023-12-01 06:15:00+00:00,2023-12-01 18:45:00+00:00,51,12.75,69413.12941176472,71844.8,9.604424413928928,62753.262745098036
2023-12-06 06:00:00+00:00,2023-12-06 19:00:00+00:00,53,13.25,70921.22641509434,73309.0,16.810607643890158,58994.313207547166
2023-12-07 06:00:00+00:00,2023-12-07 19:15:00+00:00,54,13.5,69155.25185185185,70607.9,13.326357126253207,59934.685185185175
2023-12-08 11:30:00+00:00,2023-12-08 18:15:00+00:00,28,7.0,68674.84285714287,71288.1,20.246806181381007,54744.982142857145
