Model,MAE_MW,RMSE_MW,R2,N
XGBoost,252.42221856467307,338.8933572230586,0.9985806110067712,20909
Random Forest,272.22764742455405,364.4618339964833,0.9983583543005312,20909
Linear Regression,289.43561673840645,398.98494630118563,0.9980326195975197,20909
